params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.5, ""epsilon"": 0.3, ""discount_factor"": 0.2, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.792969808640237,10,-0.035256886087768446,-0.03529411764705883,-0.04761904761904764,-0.021428571428571446,0.007073433423885089
"{""alpha"": 0.5, ""epsilon"": 0.3, ""discount_factor"": 0.3, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.802753891944349,10,-0.04063252321264493,-0.03709150326797386,-0.062068965517241406,-0.021428571428571446,0.01324379514709927
"{""alpha"": 0.5, ""epsilon"": 0.3, ""discount_factor"": 0.4, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.73965828794735,10,-0.04147138065752618,-0.03869969040247679,-0.06857142857142857,-0.02666666666666669,0.01122935924424181
"{""alpha"": 0.5, ""epsilon"": 0.3, ""discount_factor"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.932820254308808,10,-0.03941566271817652,-0.038888888888888896,-0.054166666666666675,-0.03125000000000001,0.007781084551865134
"{""alpha"": 0.5, ""epsilon"": 0.3, ""discount_factor"": 0.6, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.992729295440085,10,-0.036308661145617684,-0.03506944444444445,-0.052173913043478286,-0.021428571428571446,0.011904190657521952
"{""alpha"": 0.5, ""epsilon"": 0.3, ""discount_factor"": 0.7, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.665963589588273,10,-0.041683561607474676,-0.04325396825396827,-0.05769230769230771,-0.021428571428571446,0.012763953992244314
"{""alpha"": 0.5, ""epsilon"": 0.3, ""discount_factor"": 0.8, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.78057121094912,10,-0.036752803803513756,-0.03529411764705883,-0.062068965517241406,-0.021428571428571446,0.013032334101799324
"{""alpha"": 0.5, ""epsilon"": 0.3, ""discount_factor"": 0.9, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",9.072355046155053,10,-0.05947725388185747,-0.056846153846153866,-0.08533333333333332,-0.04500000000000002,0.010415426519051661
"{""alpha"": 0.5, ""epsilon"": 0.5, ""discount_factor"": 0.0, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",89.72495213834713,10,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0
"{""alpha"": 0.5, ""epsilon"": 0.5, ""discount_factor"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",9.512256770754675,10,-0.05908170262027205,-0.05934139784946238,-0.07999999999999996,-0.038888888888888896,0.012266344200461908
